id	Nome do aeroporto	Cod IATA	COD ICAO	Cidade	Pa°s	Latitude	Longetude	Altitude	Fuso hor†rio	DST	Continente/Cidade
1	Goroka Airport	GKA	AYGA	Goroka	Papua New Guinea	-6081689834590001	145391998291	5282	10	U	Pacific/Port_Moresby
2	Madang Airport	MAG	AYMD	Madang	Papua New Guinea	-520707988739	145789001465	20	10	U	Pacific/Port_Moresby
3	Mount Hagen Kagamuga Airport	HGU	AYMH	Mount Hagen	Papua New Guinea	-5826789855957031	14429600524902344	5388	10	U	Pacific/Port_Moresby
4	Nadzab Airport	LAE	AYNZ	Nadzab	Papua New Guinea	-6569803	146725977	239	10	U	Pacific/Port_Moresby
5	Port Moresby Jacksons International Airport	POM	AYPY	Port Moresby	Papua New Guinea	-9443380355834961	14722000122070312	146	10	U	Pacific/Port_Moresby
6	Wewak International Airport	WWK	AYWK	Wewak	Papua New Guinea	-358383011818	143669006348	19	10	U	Pacific/Port_Moresby
7	Narsarsuaq Airport	UAK	BGBW	Narssarssuaq	Greenland	611604995728	-454259986877	112	-3	E	America/Godthab
8	Godthaab / Nuuk Airport	GOH	BGGH	Godthaab	Greenland	6419090271	-516781005859	283	-3	E	America/Godthab
9	Kangerlussuaq Airport	SFJ	BGSF	Sondrestrom	Greenland	670122218992	-507116031647	165	-3	E	America/Godthab
10	Thule Air Base	THU	BGTL	Thule	Greenland	765311965942	-687032012939	251	-4	E	America/Thule
11	Akureyri Airport	AEY	BIAR	Akureyri	Iceland	6566000366210938	-1807270050048828	6	0	N	Atlantic/Reykjavik
12	Egilssta–ir Airport	EGS	BIEG	Egilsstadir	Iceland	652833023071289	-14401399612426758	76	0	N	Atlantic/Reykjavik
13	Hornafjîr–ur Airport	HFN	BIHN	Hofn	Iceland	64295601	-152272	24	0	N	Atlantic/Reykjavik
14	H£sav°k Airport	HZK	BIHU	Husavik	Iceland	65952301	-17426001	48	0	N	Atlantic/Reykjavik
15	÷safjîr–ur Airport	IFJ	BIIS	Isafjordur	Iceland	6605809783935547	-23135299682617188	8	0	N	Atlantic/Reykjavik
16	Keflavik International Airport	KEF	BIKF	Keflavik	Iceland	63985000610352	-22605600357056	171	0	N	Atlantic/Reykjavik
17	Patreksfjîr–ur Airport	PFJ	BIPA	Patreksfjordur	Iceland	65555801	-23965	11	0	N	Atlantic/Reykjavik
18	Reykjavik Airport	RKV	BIRK	Reykjavik	Iceland	641299972534	-219405994415	48	0	N	Atlantic/Reykjavik
19	Siglufjîr–ur Airport	SIJ	BISI	Siglufjordur	Iceland	66133301	-189167	10	0	N	Atlantic/Reykjavik
20	Vestmannaeyjar Airport	VEY	BIVM	Vestmannaeyjar	Iceland	6342430114746094	-20278900146484375	326	0	N	Atlantic/Reykjavik
21	Sault Ste Marie Airport	YAM	CYAM	Sault Sainte Marie	Canada	4648500061035156	-845093994140625	630	-5	A	America/Toronto
22	Winnipeg / St. Andrews Airport	\N	CYAV	Winnipeg	Canada	500564002991	-9703250122070001	760	-6	A	America/Winnipeg
23	Halifax / CFB Shearwater Heliport	\N	CYAW	Halifax	Canada	44639702	-63499401	144	-4	A	America/Halifax
24	St. Anthony Airport	YAY	CYAY	St. Anthony	Canada	513918991089	-56083099365200006	108	-35	A	America/St_Johns
25	Tofino / Long Beach Airport	YAZ	CYAZ	Tofino	Canada	49079833	-125775583	80	-8	A	America/Vancouver
26	Kugaaruk Airport	YBB	CYBB	Pelly Bay	Canada	68534401	-89808098	56	-7	A	America/Edmonton
27	Baie Comeau Airport	YBC	CYBC	Baie Comeau	Canada	4913249969482422	-6820439910888672	71	-5	A	America/Toronto
28	CFB Bagotville	YBG	CYBG	Bagotville	Canada	4833060073852539	-7099639892578125	522	-5	A	America/Toronto
29	Baker Lake Airport	YBK	CYBK	Baker Lake	Canada	6429889678960001	-96077796936	59	-6	A	America/Winnipeg
30	Campbell River Airport	YBL	CYBL	Campbell River	Canada	49950801849365234	-12527100372314453	346	-8	A	America/Vancouver
31	Brandon Municipal Airport	YBR	CYBR	Brandon	Canada	4991	-99951897	1343	-6	A	America/Winnipeg
32	Cambridge Bay Airport	YCB	CYCB	Cambridge Bay	Canada	691081008911	-105138000488	90	-7	A	America/Edmonton
33	Nanaimo Airport	YCD	CYCD	Nanaimo	Canada	49054970224899996	-123869862556	92	-8	A	America/Vancouver
34	Castlegar/West Kootenay Regional Airport	YCG	CYCG	Castlegar	Canada	492963981628	-117632003784	1624	-8	A	America/Vancouver
35	Miramichi Airport	YCH	CYCH	Chatham	Canada	47007801	-65449203	108	-4	A	America/Halifax
36	Charlo Airport	YCL	CYCL	Charlo	Canada	47990799	-66330299	132	-4	A	America/Halifax
37	Kugluktuk Airport	YCO	CYCO	Coppermine	Canada	67816704	-115143997	74	-7	A	America/Edmonton
38	Coronation Airport	YCT	CYCT	Coronation	Canada	520750007629	-111444999695	2595	-7	A	America/Edmonton
39	Chilliwack Airport	YCW	CYCW	Chilliwack	Canada	491528015137	-121939002991	32	-8	A	America/Vancouver
40	Clyde River Airport	YCY	CYCY	Clyde River	Canada	704860992432	-685167007446	87	-5	A	America/Toronto
41	Coral Harbour Airport	YZS	CYZS	Coral Harbour	Canada	641932983398	-833593978882	210	-5	A	America/Coral_Harbour
42	Dawson City Airport	YDA	CYDA	Dawson	Canada	6404309844970703	-1391280059814453	1215	-8	A	America/Vancouver
43	Burwash Airport	YDB	CYDB	Burwash	Canada	6137110137939453	-13904100036621094	2647	-8	A	America/Vancouver
44	Princeton Airport	\N	CYDC	Princeton	Canada	494681015015	-120511001587	2298	-8	A	America/Vancouver
45	Deer Lake Airport	YDF	CYDF	Deer Lake	Canada	4921080017089844	-5739139938354492	72	-35	A	America/St_Johns
46	Dease Lake Airport	YDL	CYDL	Dease Lake	Canada	584221992493	-130031997681	2600	-8	A	America/Vancouver
47	Dauphin Barker Airport	YDN	CYDN	Dauphin	Canada	51100799560546875	-100052001953125	999	-6	A	America/Winnipeg
48	Dawson Creek Airport	YDQ	CYDQ	Dawson Creek	Canada	557422981262207	-12018299865722656	2148	-7	A	America/Dawson_Creek
49	Edmonton International Airport	YEG	CYEG	Edmonton	Canada	53309700012200004	-113580001831	2373	-7	A	America/Edmonton
50	Arviat Airport	YEK	CYEK	Eskimo Point	Canada	610942001343	-9407080078119999	32	-6	A	America/Winnipeg
51	Estevan Airport	YEN	CYEN	Estevan	Canada	492103004456	-102966003418	1905	-6	N	America/Regina
52	Edson Airport	YET	CYET	Edson	Canada	53578899383499994	-116464996338	3043	-7	A	America/Edmonton
53	Eureka Airport	YEU	CYEU	Eureka	Canada	799946975708	-85814201355	256	-6	A	America/Winnipeg
54	Inuvik Mike Zubko Airport	YEV	CYEV	Inuvik	Canada	6830419921880001	-133483001709	224	-7	A	America/Edmonton
55	Iqaluit Airport	YFB	CYFB	Iqaluit	Canada	63756402	-68555801	110	-5	A	America/Toronto
56	Fredericton Airport	YFC	CYFC	Fredericton	Canada	45868900299072266	-6653720092773438	68	-4	A	America/Halifax
57	Forestville Airport	YFE	CYFE	Forestville	Canada	4874610137939453	-6909719848632812	293	-5	A	America/Toronto
58	Flin Flon Airport	YFO	CYFO	Flin Flon	Canada	546781005859375	-10168199920654297	997	-6	A	America/Winnipeg
59	Fort Resolution Airport	YFR	CYFR	Fort Resolution	Canada	611808013916	-113690002441	526	-7	A	America/Edmonton
60	Fort Simpson Airport	YFS	CYFS	Fort Simpson	Canada	6176020050048828	-12123699951171875	555	-7	A	America/Edmonton
61	Kingston Norman Rogers Airport	YGK	CYGK	Kingston	Canada	4422529983520508	-765969009399414	305	-5	A	America/Toronto
62	La Grande Riviäre Airport	YGL	CYGL	La Grande Riviere	Canada	53625301361083984	-777042007446289	639	-5	A	America/Toronto
63	GaspÇ (Michel-Pouliot) Airport	YGP	CYGP	Gaspe	Canada	487752990723	-644785995483	112	-5	A	America/Toronto
64	Geraldton Greenstone Regional Airport	YGQ	CYGQ	Geraldton	Canada	4977830123901367	-8693939971923828	1144	-5	A	America/Toronto
65	◊les-de-la-Madeleine Airport	YGR	CYGR	Iles De La Madeleine	Canada	4742470169067383	-61778099060058594	35	-5	A	America/Toronto
66	Hudson Bay Airport	YHB	CYHB	Hudson Bay	Canada	528166999817	-102310997009	1175	-6	N	America/Regina
67	Dryden Regional Airport	YHD	CYHD	Dryden	Canada	49831699	-92744202	1354	-6	A	America/Winnipeg
68	Ulukhaktok Holman Airport	YHI	CYHI	Holman Island	Canada	7076280212402344	-11780599975585938	117	-7	A	America/Edmonton
69	Gjoa Haven Airport	YHK	CYHK	Gjoa Haven	Canada	68635597229	-9584970092770001	152	-7	A	America/Edmonton
70	John C. Munro Hamilton International Airport	YHM	CYHM	Hamilton	Canada	43173599243199995	-7993499755859999	780	-5	A	America/Toronto
71	MontrÇal / Saint-Hubert Airport	YHU	CYHU	Montreal	Canada	455175018311	-734169006348	90	-5	A	America/Toronto
72	Hay River / Merlyn Carter Airport	YHY	CYHY	Hay River	Canada	608396987915	-115782997131	541	-7	A	America/Edmonton
73	Halifax / Stanfield International Airport	YHZ	CYHZ	Halifax	Canada	448807983398	-635085983276	477	-4	A	America/Halifax
74	Atikokan Municipal Airport	YIB	CYIB	Atikokan	Canada	487738990784	-916386032104	1408	-5	A	America/Coral_Harbour
75	Pond Inlet Airport	YIO	CYIO	Pond Inlet	Canada	726832962036	-779666976929	181	-5	A	America/Toronto
76	St Jean Airport	YJN	CYJN	St. Jean	Canada	4529439926147461	-7328109741210938	136	-5	A	America/Toronto
77	Stephenville Airport	YJT	CYJT	Stephenville	Canada	485442008972168	-5854999923706055	84	-35	A	America/St_Johns
78	Kamloops Airport	YKA	CYKA	Kamloops	Canada	507022018433	-120444000244	1133	-8	A	America/Vancouver
79	Waterloo Airport	YKF	CYKF	Waterloo	Canada	43460800170899994	-803786010742	1055	-5	A	America/Toronto
80	Schefferville Airport	YKL	CYKL	Schefferville	Canada	54805301666259766	-668052978515625	1709	-5	A	America/Toronto
81	Kindersley Airport	YKY	CYKY	Kindersley	Canada	515175018311	-109180999756	2277	-6	N	America/Regina
82	Buttonville Municipal Airport	YKZ	CYKZ	Toronto	Canada	4386220169067383	-7937000274658203	650	-5	A	America/Toronto
83	Chapleau Airport	YLD	CYLD	Chapleau	Canada	4781999969482422	-833467025756836	1470	-5	A	America/Toronto
84	Meadow Lake Airport	YLJ	CYLJ	Meadow Lake	Canada	54125301361083984	-10852300262451172	1576	-6	N	America/Regina
85	Lloydminster Airport	YLL	CYLL	Lloydminster	Canada	53309200286865234	-110072998046875	2193	-7	A	America/Edmonton
86	Alert Airport	YLT	CYLT	Alert	Canada	8251779937740001	-622806015015	100	-5	A	America/Toronto
87	Kelowna International Airport	YLW	CYLW	Kelowna	Canada	499561004639	-119377998352	1421	-8	A	America/Vancouver
88	Mayo Airport	YMA	CYMA	Mayo	Canada	6361640167236328	-1358679962158203	1653	-8	A	America/Vancouver
89	Moose Jaw Air Vice Marshal C. M. McEwen Airport	YMJ	CYMJ	Moose Jaw	Canada	50330299377441406	-10555899810791016	1892	-6	N	America/Regina
90	Fort McMurray Airport	YMM	CYMM	Fort Mcmurray	Canada	56653301239	-111222000122	1211	-7	A	America/Edmonton
